Planet,Description
ceres,"Ceres es el NEO más grande del cinturón de asteroides y tiene un diámetro de 939.4 km. Es el único asteroide lo suficientemente grande para ser considerado un planeta enano. Su excentricidad es 0.0792, con un semieje mayor de 2.767 UA. Su inclinación orbital es 10.59 grados."
pallas,"Pallas es el segundo mayor asteroide del cinturón principal con un diámetro de 513 km. Es notable por su órbita inclinada, que es una de las más pronunciadas entre los grandes asteroides. Tiene una excentricidad de 0.2304 y un semieje mayor de 2.77 UA. Su inclinación orbital es de 34.92 grados."
juno,"Juno es un asteroide de 246.6 km de diámetro y es uno de los primeros asteroides descubiertos. Tiene una excentricidad de 0.2561 y un semieje mayor de 2.67 UA. Su inclinación orbital es de 12.99 grados."
vesta,"Vesta es uno de los asteroides más masivos del cinturón de asteroides y ha sido visitado por la sonda Dawn de la NASA. Tiene un diámetro de 525.4 km, una excentricidad de 0.0900, y un semieje mayor de 2.361 UA. Su inclinación orbital es de 7.14 grados."
astraea,"Astraea es un asteroide relativamente pequeño, con un diámetro de 106.7 km. Fue el quinto asteroide en ser descubierto. Tiene una excentricidad de 0.1873 y un semieje mayor de 2.576 UA. Su inclinación orbital es de 5.36 grados."
hebe,"Hebe es un asteroide que se cree que es la fuente de una gran cantidad de meteoritos que caen en la Tierra. Tiene un diámetro de 185.18 km, una excentricidad de 0.2024 y un semieje mayor de 2.426 UA. Su inclinación orbital es de 14.73 grados."
iris,"Iris tiene un diámetro de 199.83 km y es el séptimo asteroide más brillante visto desde la Tierra. Tiene una excentricidad de 0.2299, un semieje mayor de 2.386 UA, y su inclinación orbital es de 5.52 grados."
flora,"Flora es uno de los asteroides más grandes en el cinturón principal y tiene una relación cercana con una familia de asteroides que comparten características orbitales. Tiene un diámetro de 147.491 km, una excentricidad de 0.1566 y un semieje mayor de 2.201 UA. Su inclinación orbital es de 5.89 grados."
metis,"Metis es un asteroide con un diámetro de 190 km y es notable por ser uno de los asteroides medianos más densos conocidos. Tiene una excentricidad de 0.1228, un semieje mayor de 2.386 UA, y una inclinación orbital de 5.58 grados."
hygiea,"Hygiea es el cuarto objeto más grande del cinturón de asteroides y podría haber sido el resultado de una colisión que formó la familia Hygiea de asteroides. Tiene un diámetro de 407.12 km, una excentricidad de 0.1104 y un semieje mayor de 3.141 UA. Su inclinación orbital es de 3.83 grados."
parthenope,"Parthenope tiene un diámetro de 142.887 km y es conocido por su órbita cercana a otros grandes asteroides. Tiene una excentricidad de 0.0994, un semieje mayor de 2.453 UA, y su inclinación orbital es de 4.63grados."
victoria,"Victoria es un asteroide que lleva el nombre de la famosa reina británica. Tiene un diámetro de 115.087 km, una excentricidad de 0.2201 y un semieje mayor de 2.334 UA. Su inclinación orbital es de 8.37 grados."
egeria,"Egeria es un asteroide que se destaca por su órbita casi circular. Tiene un diámetro de 202.636 km, una excentricidad de 0.0854, y un semieje mayor de 2.578 UA. Su inclinación orbital es de 16.53 grados."
irene,"Irene es un asteroide brillante con un diámetro de 152 km. Su excentricidad es de 0.1630, su semieje mayor es de 2.59 UA, y su inclinación orbital es de 9.13 grados."
eunomia,"Eunomia es el miembro más grande de la familia de asteroides Eunomia, que fue formada por una gran colisión. Tiene un diámetro de 231.689 km, una excentricidad de 0.1876, un semieje mayor de 2.644 UA, y su inclinación orbital es de 11.76 grados."
mercury,"Mercurio es el planeta más cercano al Sol y el más pequeño del Sistema Solar. Tiene una superficie rocosa con grandes cráteres. Es un planeta terrestre. Mercurio tiene una excentricidad de 0.20563, una inclinación orbital de 3.38 grados y un semieje mayor de 0.387098 UA. Su periodo orbital es de 88.0 días terrestres, lo que significa que un día en Mercurio dura 59 días, y un año dura 88 días."
venus,"Venus es el segundo planeta más cercano al Sol. Tiene una atmósfera muy densa y tóxica, llena de dióxido de carbono, que provoca en el planeta un efecto invernadero. Es conocido por sus altas temperaturas. Es un planeta terrestre, y es muy similar a la Tierra en tamaño. Venus tiene una excentricidad de 0.006772, una inclinación orbital de 3.86 grados y un semieje mayor de 0.723332 UA. Su periodo orbital es de 224.701 días terrestres; lo que quiere decir que un día dura 243 días y un año dura 225 días. "
earth,"La Tierra es el tercer planeta desde el Sol y el único que conocemos con vida. Su atmósfera y agua líquida permiten la vida tal como la conocemos. Es un planeta terrestre. La Tierra tiene una excentricidad de 0.016708, una inclinación orbital de 7.155 grados y un semieje mayor de 1.0 UA. Su periodo orbital es de 365.25638 días terrestres. La Tierra tiene una superficie sólida y activa, con montañas, valles y océanos que cubren el 70% de su superficie. Su atmósfera está compuesta principalmente de nitrógeno y oxígeno, que nos permite respirar. Tiene una sola luna."
mars,"Marte es conocido como el planeta rojo debido a su superficie rica en óxido de hierro. Es un planeta terrestre y se cree que pudo haber tenido agua en el pasado. Marte tiene una excentricidad de 0.0934, una inclinación orbital de 5.65 grados y un semieje mayor de 1.523679 UA. Su periodo orbital es de 686.971 días terrestres. Marte es frío y desértico, con una atmósfera muy delgada compuesta principalmente de dióxido de carbono. Tiene dos lunas, Fobos y Deimos. Marte es el cuarto planeta desde el Sol, por lo que la Tierra y Júpiter son los planetas vecinos de Marte."
saturn,"Saturno es el segundo planeta más grande del Sistema Solar, y es famoso por sus grandes y vistosos anillos; formados por hielo y rocas. Es un gigante gaseoso, lo que significa que está compuesto, en gran parte, por hidrógeno y helio. Es el sexto planeta contando desde el Sol. Sus planetas vecinos son Júpiter y Urano. Saturno tiene 146 lunas que conocemos hasta ahora. Tiene una excentricidad de 0.0565, una inclinación orbital de 5.51 grados y un semieje mayor de 9.5826 UA. Su periodo orbital es de 10759.22 días terrestres. Esto significa que, un día solo dura 10,7 horas y su año equivale a 29 años en la Tierra."
