Planet,Description
mercury,"Mercury is the closest planet to the Sun and the smallest in the Solar System. It has a rocky surface with large craters. It is a terrestrial planet. Mercury has an eccentricity of 0.20563, an orbital inclination of 3.38 degrees, and a semi-major axis of 0.387098 AU. Its orbital period is 88.0 Earth days, meaning a day on Mercury lasts 59 Earth days, and a year lasts 88 days."
venus,"Venus is the second planet from the Sun. It has a thick and toxic atmosphere filled with carbon dioxide, which causes a greenhouse effect. Venus is known for its high temperatures. It is a terrestrial planet, very similar in size to Earth. Venus has an eccentricity of 0.006772, an orbital inclination of 3.86 degrees, and a semi-major axis of 0.723332 AU. Its orbital period is 224.701 Earth days; this means a day lasts 243 days, and a year lasts 225 days."
earth,"Earth is the third planet from the Sun and the only one we know of that harbors life. Its atmosphere and liquid water make life as we know it possible. It is a terrestrial planet. Earth has an eccentricity of 0.016708, an orbital inclination of 7.155 degrees, and a semi-major axis of 1.0 AU. Its orbital period is 365.25638 Earth days. Earth has a solid, active surface with mountains, valleys, and oceans that cover 70% of its surface. Its atmosphere is mainly composed of nitrogen and oxygen, allowing us to breathe. Earth has one moon."
mars,"Mars is known as the red planet due to its iron oxide-rich surface. It is a terrestrial planet and is believed to have had water in the past. Mars has an eccentricity of 0.0934, an orbital inclination of 5.65 degrees, and a semi-major axis of 1.523679 AU. Its orbital period is 686.971 Earth days. Mars is cold and desert-like, with a thin atmosphere primarily composed of carbon dioxide. It has two moons, Phobos and Deimos. Mars is the fourth planet from the Sun, with Earth and Jupiter as its neighboring planets."
jupiter,"Jupiter is the largest planet in the Solar System, covered in swirling cloud bands. It has a giant storm called the Great Red Spot and is a gas giant. Jupiter has an eccentricity of 0.0489, an orbital inclination of 6.09 degrees, and a semi-major axis of 5.2044 AU. Its orbital period is 4332.59 Earth days. Jupiter has 95 moons and faint rings. A day on Jupiter lasts 10 hours, and a year on Jupiter is equivalent to 11.8 Earth years."
saturn,"Saturn is the second-largest planet in the Solar System and is famous for its large, bright rings made of ice and rock. It is a gas giant, meaning it is mostly composed of hydrogen and helium. It is the sixth planet from the Sun, with Jupiter and Uranus as its neighboring planets. Saturn has 146 known moons. It has an eccentricity of 0.0565, an orbital inclination of 5.51 degrees, and a semi-major axis of 9.5826 AU. Its orbital period is 10759.22 Earth days, meaning a day lasts 10.7 hours, and a year equals 29 Earth years."
uranus,"Uranus is another giant, but it is made of ice, with an atmosphere rich in helium and methane, giving it a blue color. It has an extreme tilt, making it rotate on its side as it orbits, the only planet to do so. Uranus is the seventh planet in the Solar System, the third-largest by size. Uranus has an eccentricity of 0.046381, an orbital inclination of 6.48 degrees, and a semi-major axis of 19.2184 AU. Its orbital period is 30688.5 Earth days. It has 28 moons and is surrounded by 13 rings, some of which are vividly colored."
neptune,"Neptune is the farthest planet from the Sun and is known for its strong winds and an atmosphere composed of hydrogen, helium, and methane, giving it a blue color. Neptune has an eccentricity of 0.009456, an orbital inclination of 6.43 degrees, and a semi-major axis of 30.110388 AU. Its orbital period is 60182.0 Earth days. A day on Neptune lasts a little over 17 hours. It has six rings and is similar to Uranus, with a thick mix of water, ammonia, and methane over a solid core about the size of Earth."
sun,"The Sun is the central star of the Solar System and makes up 99.86% of the system's total mass. It is a yellow dwarf, with a surface temperature of about 5,500 degrees Celsius and a core that reaches temperatures above 15 million degrees Celsius. The Sun is about 149.6 million kilometers (1 AU) from Earth, and its light takes about 8 minutes to reach us. It has a diameter of 1.39 million kilometers and is approximately 4.6 billion years old. The Sun's energy comes from nuclear fusion in its core, where hydrogen turns into helium, releasing an enormous amount of energy as light and heat. The Sun is essential for life on Earth, providing the energy needed for climate, biological cycles, and photosynthesis."
ceres,"Ceres is the largest NEO in the asteroid belt, with a diameter of 939.4 km. It is the only asteroid large enough to be classified as a dwarf planet. Its eccentricity is 0.0792, with a semi-major axis of 2.767 AU. Its orbital inclination is 10.59 degrees."
pallas,"Pallas is the second-largest asteroid in the main belt, with a diameter of 513 km. It is notable for its highly inclined orbit, one of the steepest among large asteroids. Pallas has an eccentricity of 0.2304 and a semi-major axis of 2.77 AU. Its orbital inclination is 34.92 degrees."
juno,"Juno is an asteroid with a diameter of 246.6 km and is one of the first asteroids discovered. It has an eccentricity of 0.2561 and a semi-major axis of 2.67 AU. Its orbital inclination is 12.99 degrees."
vesta,"Vesta is one of the most massive asteroids in the asteroid belt and was visited by NASA's Dawn spacecraft. It has a diameter of 525.4 km, an eccentricity of 0.0900, and a semi-major axis of 2.361 AU. Its orbital inclination is 7.14 degrees."
astraea,"Astraea is a relatively small asteroid, with a diameter of 106.7 km. It was the fifth asteroid to be discovered. Astraea has an eccentricity of 0.1873 and a semi-major axis of 2.576 AU. Its orbital inclination is 5.36 degrees."
hebe,"Hebe is an asteroid believed to be the source of many meteorites that fall to Earth. It has a diameter of 185.18 km, an eccentricity of 0.2024, and a semi-major axis of 2.426 AU. Its orbital inclination is 14.73 degrees."
iris,"Iris has a diameter of 199.83 km and is the seventh-brightest asteroid visible from Earth. It has an eccentricity of 0.2299, a semi-major axis of 2.386 AU, and its orbital inclination is 5.52 degrees."
flora,"Flora is one of the largest asteroids in the main belt and is closely related to a family of asteroids sharing orbital characteristics. It has a diameter of 147.491 km, an eccentricity of 0.1566, and a semi-major axis of 2.201 AU. Its orbital inclination is 5.89 degrees."
metis,"Metis is an asteroid with a diameter of 190 km and is notable for being one of the densest medium-sized asteroids. It has an eccentricity of 0.1228, a semi-major axis of 2.386 AU, and an orbital inclination of 5.58 degrees."
hygiea,"Hygiea is the fourth-largest object in the asteroid belt and may have resulted from a collision that formed the Hygiea family of asteroids. It has a diameter of 407.12 km, an eccentricity of 0.1104, and a semi-major axis of 3.141 AU. Its orbital inclination is 3.83 degrees."
parthenope,"Parthenope has a diameter of 142.887 km and is known for its orbit close to other large asteroids. It has an eccentricity of 0.0994, a semi-major axis of 2.453 AU, and its orbital inclination is 4.63 degrees."
victoria,"Victoria is an asteroid named after the famous British queen. It has a diameter of 115.087 km, an eccentricity of 0.2201, and a semi-major axis of 2.334 AU. Its orbital inclination is 8.37 degrees."
egeria,"Egeria is an asteroid notable for its nearly circular orbit. It has a diameter of 202.636 km, an eccentricity of 0.0854, and a semi-major axis of 2.578 AU. Its orbital inclination is 16.53 degrees."
irene,"Irene is a bright asteroid with a diameter of 152 km. Its eccentricity is 0.1630, its semi-major axis is 2.59 AU, and its orbital inclination is 9.13 degrees."
eunomia,"Eunomia is the largest member of the Eunomia family of asteroids, which was formed by a major collision. It has a diameter of 231.689 km, an eccentricity of 0.1876, a semi-major axis of 2.644 AU, and its orbital inclination is 11.76 degrees."
moon,"The Moon is Earth's only natural satellite. It has a diameter of 3,474 km and orbits our planet at an average distance of 384,400 km. Composed primarily of igneous rocks rich in silicon, iron, and magnesium, its surface is marked by impact craters, basaltic plains (mare), and mountains. Throughout its geological history, the Moon has been bombarded by meteoroids, which have resulted in its characteristic scars. Thanks to its synchronous rotation, the Moon always shows the same face to the Earth, known as the near side, while the far side remained unexplored until the 20th century."
